Date,Year,DOY,year_DOY,NEE
2009.418033,2009,153,2009_153,-0.766143314
2009.420765,2009,154,2009_154,-1.367370765
2009.423497,2009,155,2009_155,-1.132028746
2009.42623,2009,156,2009_156,-0.700988813
2009.428962,2009,157,2009_157,-0.599307263
2009.431694,2009,158,2009_158,-1.294625624
2009.434426,2009,159,2009_159,-1.017845721
2009.437158,2009,160,2009_160,-1.274680641
2009.439891,2009,161,2009_161,-1.33674456
2009.442623,2009,162,2009_162,-1.934266547
2009.445355,2009,163,2009_163,-1.648450183
2009.448087,2009,164,2009_164,-0.203849941
2009.45082,2009,165,2009_165,-1.458728138
2009.453552,2009,166,2009_166,-1.772850332
2009.456284,2009,167,2009_167,-1.483222936
2009.459016,2009,168,2009_168,-1.391115055
2009.461749,2009,169,2009_169,-1.68177516
2009.464481,2009,170,2009_170,-1.997868275
2009.467213,2009,171,2009_171,-2.272325528
2009.469945,2009,172,2009_172,-1.883761635
2009.472678,2009,173,2009_173,-2.325477949
2009.47541,2009,174,2009_174,-2.336255337
2009.478142,2009,175,2009_175,-1.75718773
2009.480874,2009,176,2009_176,-0.590162265
2009.483607,2009,177,2009_177,-1.203621578
2009.486339,2009,178,2009_178,-2.44843585
2009.489071,2009,179,2009_179,-1.891237528
2009.491803,2009,180,2009_180,-1.564014483
2009.494536,2009,181,2009_181,-2.190271388
2009.497268,2009,182,2009_182,-1.992283677
2009.5,2009,183,2009_183,-2.323836761
2009.502732,2009,184,2009_184,-2.3518736
2009.505464,2009,185,2009_185,-2.345015787
2009.508197,2009,186,2009_186,-2.180564979
2009.510929,2009,187,2009_187,-1.598558013
2009.513661,2009,188,2009_188,-1.27742848
2009.516393,2009,189,2009_189,-0.41845702
2009.519126,2009,190,2009_190,-1.067437446
2009.521858,2009,191,2009_191,-1.345011866
2009.52459,2009,192,2009_192,-1.481702112
2009.527322,2009,193,2009_193,-1.290796493
2009.530055,2009,194,2009_194,-1.439324701
2009.532787,2009,195,2009_195,-2.331387125
