Date,Year,Time,DOY,Year_DOY,NEE,Re,GPP,NDVI_ASDscal,NDVI_TOWscal,NDVI_notscaled
2009.379781,2009,140,140,2009_140,,,,,,
2009.382514,2009,141,141,2009_141,,,,,,
2009.385246,2009,142,142,2009_142,,,,,,
2009.387978,2009,143,143,2009_143,-0.899342554,,0.899342554,,,
2009.39071,2009,144,144,2009_144,-0.747412198,,0.747412198,0.046983777,,0.288059543
2009.393443,2009,145,145,2009_145,-0.016130688,,0.016130688,0.274043416,0.522518008,0.430407759
2009.396175,2009,146,146,2009_146,-0.318797188,,0.318797188,0.322820233,0.555718107,0.460986918
2009.398907,2009,147,147,2009_147,-1.137782454,,1.137782454,,,0.143291354
2009.401639,2009,148,148,2009_148,-0.537724982,,0.537724982,,,0.001981978
2009.404372,2009,149,149,2009_149,-1.185265603,,1.185265603,0.305315732,0.543803611,0.450012997
2009.407104,2009,150,150,2009_150,-1.321381381,1.139762279,2.46114366,,,0.028617011
2009.409836,2009,151,151,2009_151,-1.322556472,1.76677369,3.089330162,0.307526966,0.545308695,0.451399264
2009.412568,2009,152,152,2009_152,-1.025530968,1.209572321,2.235103288,0.290557705,0.533758512,0.440760896
2009.415301,2009,153,153,2009_153,-0.766143376,1.133021016,1.899164392,0.292198586,0.534875383,0.441789597
2009.418033,2009,154,154,2009_154,-1.367370874,1.418518336,2.78588921,0.307621369,0.54537295,0.451458447
2009.420765,2009,155,155,2009_155,-1.132028836,1.587384111,2.719412947,0.306065443,0.544313904,0.450483006
2009.423497,2009,156,156,2009_156,-0.700988869,1.154190683,1.855179551,0.264563428,0.516065423,0.424464565
2009.42623,2009,157,157,2009_157,-0.599307311,1.195863753,1.795171064,0.181386547,0.459450809,0.37231932
2009.428962,2009,158,158,2009_158,-1.294625727,1.195863753,2.49048948,0.388069862,0.600130479,0.501893212
2009.431694,2009,159,159,2009_159,-1.017845803,1.174379609,2.192225412,0.305560948,0.543970518,0.450166728
2009.434426,2009,160,160,2009_160,-1.274680743,1.042532732,2.317213475,0.290128347,0.533466269,0.440491723
2009.437158,2009,161,161,2009_161,-1.336744667,1.054822488,2.391567155,0.344593715,0.570538298,0.474637148
2009.439891,2009,162,162,2009_162,-1.934266701,0.912143321,2.846410023,0.360212388,0.581169199,0.484428806
