Year.frac,Time,Year,Year_DOY,DOY,AirT_max,PAR_max,NEE,Re,GPP,NDVI_notscaled
2009.379781,140,2009,2009_140,140,10.96,1393.753,,,,
2009.382514,141,2009,2009_141,141,8.04,1380.604,,,,
2009.385246,142,2009,2009_142,142,8.32,1343.199,,,,
2009.387978,143,2009,2009_143,143,8.69,1317.723,-0.899342554,,0.899342554,
2009.39071,144,2009,2009_144,144,14.91,1371.858,-0.747412198,,0.747412198,0.288059543
2009.393443,145,2009,2009_145,145,20.13,1369.099,-0.016130688,,0.016130688,0.430407759
2009.396175,146,2009,2009_146,146,2.49,668.2862,-0.318797188,,0.318797188,0.460986918
2009.398907,147,2009,2009_147,147,-1.48,495.7267,-1.137782454,,1.137782454,0.143291354
2009.401639,148,2009,2009_148,148,3.44,1373.352,-0.537724982,,0.537724982,0.001981978
2009.404372,149,2009,2009_149,149,0.904,707.4639,-1.185265603,,1.185265603,0.450012997
2009.407104,150,2009,2009_150,150,4.252,1327.27,-1.321381381,1.139762279,2.46114366,0.028617011
2009.409836,151,2009,2009_151,151,8.24,1037.028,-1.322556472,1.76677369,3.089330162,0.451399264
2009.412568,152,2009,2009_152,152,13.78,1222.571,-1.025530968,1.209572321,2.235103288,0.440760896
2009.415301,153,2009,2009_153,153,17.79,1450.779,-0.766143376,1.133021016,1.899164392,0.441789597
2009.418033,154,2009,2009_154,154,17.82,707.2065,-1.367370874,1.418518336,2.78588921,0.451458447
2009.420765,155,2009,2009_155,155,17.93,1360.651,-1.132028836,1.587384111,2.719412947,0.450483006
2009.423497,156,2009,2009_156,156,25.19,1394.679,-0.700988869,1.154190683,1.855179551,0.424464565
2009.42623,157,2009,2009_157,157,16.68,1421.19,-0.599307311,1.195863753,1.795171064,0.37231932
2009.428962,158,2009,2009_158,158,10.14,769.0677,-1.294625727,1.195863753,2.49048948,0.501893212
2009.431694,159,2009,2009_159,159,15.57,1450.286,-1.017845803,1.174379609,2.192225412,0.450166728
2009.434426,160,2009,2009_160,160,18.3,1366.755,-1.274680743,1.042532732,2.317213475,0.440491723
2009.437158,161,2009,2009_161,161,12.43,1047.133,-1.336744667,1.054822488,2.391567155,0.474637148
2009.439891,162,2009,2009_162,162,12.62,959.0282,-1.934266701,0.912143321,2.846410023,0.484428806
2009.442623,163,2009,2009_163,163,11.95,1421.739,-1.648450314,1.014070954,2.662521269,0.455687344
2009.445355,164,2009,2009_164,164,12.2,1485.267,-0.203849957,0.935692226,1.139542184,0.454392741
2009.448087,165,2009,2009_165,165,9.28,284.6196,-1.458728255,0.936581304,2.395309559,0.514970114
2009.45082,166,2009,2009_166,166,14.95,1527.256,-1.772850474,0.969937087,2.742787561,0.451235137
2009.453552,167,2009,2009_167,167,16.79,1388.902,-1.483223055,1.06242762,2.545650675,0.460611491
2009.456284,168,2009,2009_168,168,19.18,1383.767,-1.391115166,1.159968822,2.551083988,0.459335632
2009.459016,169,2009,2009_169,169,12.06,627.9734,-1.681775294,1.203268609,2.885043904,0.510768881
2009.461749,170,2009,2009_170,170,7.533,583.0109,-1.997868435,1.228626594,3.226495029,0.50581962
2009.464481,171,2009,2009_171,171,6.155,1234.244,-2.27232571,1.289451406,3.561777115,0.492625828
2009.467213,172,2009,2009_172,172,12.23,1381.101,-1.883761785,1.338152533,3.221914318,0.471204114
2009.469945,173,2009,2009_173,173,18.7,1438.41,-2.325478135,1.30189947,3.627377605,0.46892906
2009.472678,174,2009,2009_174,174,11.32,1076.907,-2.336255524,1.302786653,3.639042178,0.508368167
2009.47541,175,2009,2009_175,175,14.44,1259.305,-1.75718787,1.257279304,3.014467174,0.499036768
2009.478142,176,2009,2009_176,176,14.74,1394.726,-0.590162312,1.451766763,2.041929074,0.474536795
2009.480874,177,2009,2009_177,177,9.79,532.5591,-1.203621674,1.554581978,2.758203652,0.496801541
2009.483607,178,2009,2009_178,178,7.032,736.5268,-2.448436046,1.895157549,4.343593594,0.496307057
