"","value","scale","L1","L2","Mean","Min","Max","N","var"
"kplant1",0.10425307540313,0.10425307540313,0.00168395479782753,0.00397955681271295,-0.00143050035283918,-0.0126964996408421,0.114579633679874,2922,"NDVI"
"UptakeRate1",0.0103341801154666,0.0103341801154666,0.00465719301725196,0.0115506336530485,0.00353405863550411,-0.286488423137746,0.048175860460144,2922,"NDVI"
"propN_roots1",0.0209292818627019,0.0209292818627019,0.00465719747751489,0.0115506445532191,0.00353406170361998,-0.286488770242194,0.0481758950561441,2922,"NDVI"
"q101",2.84162299074995,2.84162299074995,0.0944196366444431,0.330514876315369,0.093716700448649,-0.136275119549972,14.6162880294821,2922,"NDVI"
"propN_fol1",0.129355034981516,0.129355034981516,0.109779198472295,0.344441546191454,0.109779198472295,0,14.7100178464693,2922,"NDVI"
"netNrate1",0.00842771272063294,0.00842771272063294,0.1310760258482,0.488127114357131,0.1310760258482,0,22.3769320460131,2922,"NDVI"
"LitterRate1",0.00159867670041754,0.00159867670041754,0.139522150249245,0.548795751678494,-0.139522150249245,-25.8200745161302,0,2922,"NDVI"
"kplant2",0.10425307540313,0.10425307540313,0.0150701972027891,0.261588288262771,-0.0124106567863906,-14.0130090905314,0.946577668198156,2922,"NEE"
"UptakeRate2",0.0103341801154666,0.0103341801154666,0.0456165768755629,0.969265975807838,0.0383753050180466,-2.97399844409676,52.146525636103,2922,"NEE"
"propN_roots2",0.0209292818627019,0.0209292818627019,0.0456166260428418,0.96926709781199,0.0383753464738202,-2.97400074024993,52.1465860480112,2922,"NEE"
"q102",2.84162299074995,2.84162299074995,0.736798991347365,9.19495433753774,0.413061028780138,-320.753360597772,368.607297762387,2922,"NEE"
"propN_fol2",0.129355034981516,0.129355034981516,0.77107080758228,7.96538071780667,0.46339635385611,-287.901626088754,307.657967253989,2922,"NEE"
"netNrate2",0.00842771272063294,0.00842771272063294,0.962328454140529,11.1213730425143,0.557218497646097,-397.712379450119,436.164991231407,2922,"NEE"
"LitterRate2",0.00159867670041754,0.00159867670041754,0.977753459723779,10.933639482791,-0.616088566181109,-473.477702141187,337.026281425599,2922,"NEE"
