Site,Latitude,mean,sd,q05,q95
1,65.434322,0.605191082,0.050990348,0.485674138,0.658798983
2,66.11707914,0.612801687,0.032969926,0.545138333,0.656748333
3,67.25862109,0.656043059,0.081474376,0.47946322,0.76817161
4,68.323,0.404247988,0.074052427,0.285580833,0.517379583
5,68.5164,0.507628806,0.038472138,0.452774997,0.552560583
6,68.6138,0.468035811,0.082557168,0.295755667,0.555892
7,68.6312,0.45747543,0.0949628,0.282051833,0.56004575
8,68.6801,0.480841695,0.077944941,0.304348833,0.558327667
9,68.17335,0.545493145,0.027800571,0.49750678,0.59464
10,68.77075,0.555081309,0.019342258,0.528203333,0.589373333
11,68.83125,0.629733539,0.043796695,0.573298333,0.70185
12,68.2694667,0.546855685,0.066407285,0.382016667,0.594576
13,68.3997167,0.56206353,0.01018149,0.543038333,0.575335
14,68.4546167,0.575533155,0.015384772,0.546556667,0.596871186
15,68.5742167,0.590840453,0.061949518,0.447668333,0.676823333
16,68.6879167,0.548526049,0.061987367,0.401348333,0.614746667
17,68.9414667,0.572754053,0.053017787,0.454556667,0.617505
18,69.0247,0.584064424,0.043449155,0.478275,0.635135
19,69.5054,0.580181872,0.041490116,0.480048333,0.61603
20,69.62595,0.598652716,0.017789706,0.560768333,0.618581667
21,69.85355,0.579795943,0.095929307,0.32179,0.640181667
22,69.0541667,0.553805242,0.069049233,0.395038,0.616799333
23,69.0944167,0.585940563,0.051368613,0.50453175,0.617213417
24,69.2225833,0.531502646,0.037029348,0.499619083,0.562890833
25,69.3168333,0.504044274,0.029810996,0.467920583,0.534487917
26,69.4086833,0.469602601,0.054971867,0.311044167,0.504304583
27,69.4546167,0.469839396,0.045750714,0.383291333,0.511993
28,69.7060833,0.509943455,0.053607599,0.429613917,0.555163167
29,69.7703167,0.475749002,0.05776636,0.313283523,0.52314496
30,69.9195333,0.483732438,0.044699514,0.427851167,0.530978833
31,69.9886667,0.450632048,0.082680706,0.278876949,0.5155775
