,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,,
,Output,R2,MAE,RMSE,R2,MAE,RMSE,R2,MAE,RMSE,R2,MAE,RMSE,R2,MAE,RMSE,R2,MAE,RMSE,R2,MAE,RMSE,,
1,Biomass_C,0.80,31.20,36.73,0.55,76.52,90.86,0.04,152.34,174.10,0.52,79.93,9.14,0.99,8.10,9.14,1.00,2.35,2.88,0.99,10.84,12.18,,
2,Biomass_N,0.67,0.12,0.13,0.79,0.05,0.06,0.56,0.08,0.09,0.37,0.05,0.08,0.29,0.07,0.08,0.94,0.11,0.12,0.45,0.06,0.08,,
3,Litter_C,0.72,75.00,81.03,0.59,57.09,59.66,0.56,19.00,22.36,0.90,18.86,194.36,0.42,172.80,194.36,0.94,19.71,21.01,0.92,17.31,19.04,,
4,Litter_N,0.11,0.76,0.80,0.29,1.14,1.17,0.08,1.02,1.07,0.19,0.29,1.29,0.10,1.25,1.29,0.12,0.50,0.58,0.18,0.86,0.90,,
5,SOM_C,0.92,44.43,46.16,0.83,24.21,27.89,0.96,142.05,169.10,0.65,53.96,193.88,0.64,174.06,193.88,0.98,128.90,146.52,0.87,251.83,288.14,,
6,SOM_N,0.71,0.68,0.73,0.55,1.11,1.14,0.61,0.99,1.04,0.43,0.25,1.28,0.46,1.24,1.28,0.57,0.63,0.71,0.69,0.89,0.94,,
7,Available_N,0.09,0.05,0.07,0.72,0.02,0.03,0.25,0.05,0.07,0.10,0.05,0.05,0.84,0.04,0.05,0.91,0.02,0.03,0.63,0.02,0.03,,
8,GPP,1.00,0.06,0.07,1.00,0.05,0.06,1.00,0.03,0.04,1.00,0.02,0.04,1.00,0.03,0.04,1.00,0.10,0.11,1.00,0.03,0.04,,
9,NDVI,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.01,0.01,1.00,0.00,0.00,,
10,NEE,1.00,0.03,0.04,1.00,0.06,0.07,1.00,0.05,0.07,0.99,0.06,0.30,0.96,0.22,0.30,0.99,0.17,0.18,1.00,0.33,0.33,,
11,Re,1.00,0.04,0.04,1.00,0.01,0.02,1.00,0.03,0.04,1.00,0.06,0.30,1.00,0.22,0.30,1.00,0.11,0.13,1.00,0.34,0.34,,
,,,,,,,,,,,,,,,,,,,,,,,,
