MODIS,UniSpec,Tower
0.522851825,0.540689143,
0.422630737,0.460257288,
0.326823832,0.422563508,
0.576091806,0.583513233,
0.492988333,0.521767137,
0.40166681,0.480330682,
0.613237703,0.611334506,
0.562545929,0.576923246,
0.495284653,0.545524412,
0.608766008,0.607210648,
0.583260398,0.590717922,
0.533189927,0.566403431,
0.537792742,0.582835285,
0.5025235,0.567006277,
0.446144033,0.580189762,
0.38518695,0.499001786,
0.457903367,0.482673457,
0.447530911,0.481574978,
0.393860395,0.448507296,
0.507516913,0.51483966,
0.537116733,0.547292392,
0.50943631,0.519378218,
0.553926058,0.577720195,
0.555702742,0.531876476,
0.545753999,0.52462868,
0.644074464,0.62330187,
0.656452587,0.630467789,
0.623657949,0.562749765,
0.618511589,0.611119958,
0.652851161,0.635677122,
0.623658161,0.591343194,
0.572954596,0.580937165,
0.572383553,0.565298562,
0.567745077,0.550617105,
0.551363698,0.566691238,
0.547066511,0.558403481,
0.515013536,0.514176609,
0.537411626,0.528750169,
0.606384492,0.589848981,
0.593362908,0.563854424,
0.55951749,0.570637355,
0.612971835,0.611919755,
0.618407218,0.622456136,
0.648852298,0.62985085,
0.74109763,0.710959703,
0.724934698,0.681045534,
0.652212208,0.632995737,
0.748605847,0.71558689,
0.696717809,0.657412344,
0.529278741,0.542398107,
0.571636075,0.581102683,
0.580949876,0.583030843,
0.479720079,0.500760938,
0.464138631,0.483046918,
0.470838788,0.487359527,
0.523876424,0.533444194,
0.585553363,0.586752216,
0.60306126,0.598624014,
0.595995454,0.593545265,
0.654168376,0.63710037,
0.677743749,0.654964158,
0.641198825,0.634916847,
0.702032164,0.68194554,
0.712989034,0.689365441,
0.652094798,0.644909883,
0.713519341,0.696082087,
0.704643401,0.687727731,
0.637781717,0.635003457,
0.717450113,0.701693346,
0.709476285,0.694269792,
0.4886141,0.506371019,0.675349421
0.517870866,0.532225534,0.681674586
0.53468185,0.542934152,0.682541667
0.569799179,0.575425094,0.708555312
0.629736221,0.625151261,0.725309445
0.675858444,0.664132136,0.745397454
0.629375268,0.625012286,0.720335393
0.730835637,0.710973782,0.763819035
0.765222368,0.742637326,0.785482549
0.61148553,0.61439902,0.738135166
0.675201127,0.665770554,0.755255893
0.739065332,0.716878731,0.770541443
0.540947773,0.564283899,0.718687605
0.560884399,0.581515809,0.722471307
0.59612209,0.60534787,0.744953684
0.689161308,0.679100407,0.764078019
0.76977286,0.746522729,0.795896931
0.789266443,0.762241849,0.787857798
0.713474128,0.701850118,0.775868985
0.768352197,0.74385883,0.791312731
0.805015919,0.784418383,0.823071937
0.477261674,0.498264002,0.681993653
0.503833008,0.519584841,0.701260158
0.469062349,0.482182374,0.670945863
0.551594881,0.557877598,0.697848674
0.587319235,0.583932675,0.710254172
0.608858146,0.601283871,0.707632565
0.593379578,0.594264826,0.714210017
0.68866074,0.674556612,0.73989129
0.733092158,0.709635026,0.763084274
0.657038236,0.652491669,0.734949302
0.688657859,0.674554416,0.739890844
0.733093816,0.709638022,0.763085734
0.645966432,0.64543428,0.742229401
0.673483679,0.662121301,0.737002661
0.700437493,0.686822037,0.75228022
0.516175001,0.529893306,0.68235403
0.551535573,0.559607452,0.703962547
0.560449256,0.570352451,0.728326012
0.658231845,0.65585631,0.754419158
0.702302027,0.69129297,0.766707882
0.560449256,0.570352451,0.728326012
