Date,Site,NDVI_UniSpec,NDVI_Rad,NDVI_MODIS
6/22/2008,MOD,0.46025729,,0.422630737
7/4/2008,MOD,0.52176714,,0.492988333
7/24/2008,MOD,0.57692325,,0.562545929
8/6/2008,MOD,0.59071792,,0.583260398
8/30/2008,MOD,0.56700628,,0.5025235
6/5/2009,MOD,0.48157498,,0.447530911
6/13/2009,MOD,0.54729239,,0.537116733
6/29/2009,MOD,0.53187648,,0.555702742
7/18/2019,MOD,0.63046779,,0.656452587
8/11/2009,MOD,0.63567712,,0.652851161
8/20/2009,MOD,0.56529856,,0.572383553
8/27/2009,MOD,0.55840348,,0.547066511
6/20/2010,MOD,0.58984898,,0.606384492
7/2/2010,MOD,0.61191976,,0.612971835
7/30/2010,MOD,0.71095970,,0.74109763
8/3/2010,MOD,0.71558689,,0.748605847
8/31/2010,MOD,0.58110268,,0.571636075
6/3/2011,MOD,0.48304692,,0.464138631
6/19/2011,MOD,0.58675222,,0.585553363
7/5/2011,MOD,0.63710037,,0.654168376
7/18/2011,MOD,0.68194554,,0.702032164
8/1/2011,MOD,0.69608209,,0.713519341
8/11/2011,MOD,0.70169335,,0.717450113
6/12/2012,MOD,0.53222553,0.583888347,0.517870866
6/26/2012,MOD,0.62515126,0.640927379,0.629736221
7/13/2012,MOD,0.71097378,0.691266712,0.730835637
8/20/2012,MOD,0.66577055,0.680073063,0.675201127
9/4/2012,MOD,0.58151581,0.637217395,0.560884399
7/18/2013,MOD,0.74652273,0.733198602,0.76977286
8/10/2013,MOD,0.74385883,0.727206185,0.768352197
6/13/2014,MOD,0.51958484,0.609490402,0.503833008
6/29/2014,MOD,0.58393268,0.621247284,0.587319235
7/4/2014,MOD,0.67455661,0.659988615,0.68866074
7/31/2014,MOD,0.67455442,0.659988032,0.688657859
8/7/2014,MOD,0.66212130,0.656212628,0.673483679
6/13/2015,MOD,0.55960745,0.613022937,0.551535573
7/13/2015,MOD,0.69129297,0.695042984,0.702302027
6/22/2008,SEV,0.42256351,,0.326823832
7/4/2008,SEV,0.48033068,,0.40166681
7/24/2008,SEV,0.54552441,,0.495284653
8/6/2008,SEV,0.56640343,,0.533189927
8/30/2008,SEV,0.58018976,,0.446144033
9/2/2008,SEV,0.49900179,,0.38518695
6/5/2009,SEV,0.44850730,,0.393860395
6/13/2009,SEV,0.51937822,,0.50943631
6/29/2009,SEV,0.52462868,,0.545753999
7/18/2009,SEV,0.56274977,,0.623657949
8/11/2009,SEV,0.59134319,,0.623658161
8/20/2009,SEV,0.55061710,,0.567745077
8/27/2009,SEV,0.51417661,,0.515013536
6/20/2010,SEV,0.56385442,,0.593362908
7/2/2010,SEV,0.62245614,,0.618407218
7/30/2010,SEV,0.68104553,,0.724934698
8/3/2010,SEV,0.65741234,,0.696717809
8/31/2010,SEV,0.58303084,,0.580949876
6/3/2011,SEV,0.48735953,,0.470838788
6/19/2011,SEV,0.59862401,,0.60306126
7/5/2011,SEV,0.65496416,,0.677743749
7/18/2011,SEV,0.68936544,,0.712989034
8/1/2011,SEV,0.68772773,,0.704643401
8/11/2011,SEV,0.69426979,,0.709476285
6/12/2012,SEV,0.54293415,0.585021787,0.53468185
6/26/2012,SEV,0.66413214,0.667186214,0.675858444
7/13/2012,SEV,0.74263733,0.719585032,0.765222368
8/20/2012,SEV,0.71687873,0.700054174,0.739065332
9/4/2012,SEV,0.60534787,0.666606123,0.59612209
7/18/2013,SEV,0.76224185,0.722689932,0.789266443
8/10/2013,SEV,0.78441838,0.768721486,0.805015919
6/13/2014,SEV,0.48218237,0.569863873,0.469062349
6/29/2014,SEV,0.60128387,0.617820346,0.608858146
7/4/2014,SEV,0.70963503,0.69030624,0.733092158
7/31/2014,SEV,0.70963802,0.690308149,0.733093816
8/7/2014,SEV,0.68682204,0.676183295,0.700437493
6/13/2015,SEV,0.57035245,0.644870604,0.560449256
7/13/2015,SEV,0.57035245,0.644870604,0.560449256
6/22/2008,UNB,0.54068914,,0.522851825
7/4/2008,UNB,0.58351323,,0.576091806
7/24/2008,UNB,0.61133451,,0.613237703
8/6/2008,UNB,0.60721065,,0.608766008
8/30/2008,UNB,0.58283528,,0.537792742
6/5/2009,UNB,0.48267346,,0.457903367
6/13/2009,UNB,0.51483966,,0.507516913
6/29/2009,UNB,0.57772019,,0.553926058
7/18/2009,UNB,0.62330187,,0.644074464
8/11/2009,UNB,0.61111996,,0.618511589
8/20/2009,UNB,0.58093716,,0.572954596
8/27/2009,UNB,0.56669124,,0.551363698
6/20/2010,UNB,0.52875017,,0.537411626
7/2/2010,UNB,0.57063736,,0.55951749
7/30/2010,UNB,0.62985085,,0.648852298
8/3/2010,UNB,0.63299574,,0.652212208
8/31/2010,UNB,0.54239811,,0.529278741
6/3/2011,UNB,0.50076094,,0.479720079
6/19/2011,UNB,0.53344419,,0.523876424
7/5/2011,UNB,0.59354526,,0.595995454
7/18/2011,UNB,0.63491685,,0.641198825
8/1/2011,UNB,0.64490988,,0.652094798
8/11/2011,UNB,0.63500346,,0.637781717
6/12/2012,UNB,0.50637102,0.575620159,0.4886141
6/26/2012,UNB,0.57542509,0.619026552,0.569799179
7/13/2012,UNB,0.62501229,0.63442535,0.629375268
8/20/2012,UNB,0.61439902,0.657693027,0.61148553
9/4/2012,UNB,0.56428390,0.632271379,0.540947773
7/18/2013,UNB,0.67910041,0.691605253,0.689161308
8/10/2013,UNB,0.70185012,0.70701828,0.713474128
6/13/2014,UNB,0.49826400,0.584305428,0.477261674
6/29/2014,UNB,0.55787760,0.605030947,0.551594881
7/4/2014,UNB,0.59426483,0.626418322,0.593379578
7/31/2014,UNB,0.65249167,0.6535285,0.657038236
8/7/2014,UNB,0.64543428,0.663044969,0.645966432
6/13/2015,UNB,0.52989331,0.58477651,0.516175001
7/13/2015,UNB,0.65585631,0.678979291,0.658231845
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
