"","value","scale","L1","L2","Mean","Min","Max","N","var"
"beta1",0.0766926065650583,0.0766926065650583,0,0,0,0,0,1826,"Available_N"
"SOM_C1",20344.2164917512,20344.2164917512,0,0,0,0,0,1826,"Available_N"
"SOM_N1",875.000064298401,875.000064298401,0,0,0,0,0,1826,"Available_N"
"Available_N1",2.64937158015817,2.64937158015817,0.0762788766682728,0.372964192144155,0.04361126301761,-0.0945930223039682,2.64937156657652,1826,"Available_N"
"Biomass_N1",10.1849611575459,10.1849611575459,0.0575959044941067,0.107571000055242,-0.0575959044941067,-0.333552729880893,0,1826,"Available_N"
"kplant1",0.151576484745363,0.151576484745363,0.115252351504981,0.176142210103933,0.115252351504981,0,0.53831763630377,1826,"Available_N"
"Biomass_C1",639.442368982487,639.442368982487,0.15315471361708,0.329056454498942,-0.15315471361708,-2.04405791182083,0,1826,"Available_N"
"LitterRateN1",0.00211063068724482,0.00211063068724482,0.158150048469186,0.383652292034571,0.158150048469186,0,2.08929990335124,1826,"Available_N"
"netNrate1",0.0367319566769456,0.0367319566769456,0.198919119070596,0.363885038680268,0.19887573774653,-0.00696084765846953,1.42808427840572,1826,"Available_N"
"cue1",0.685843922537506,0.685843922537506,0.214540962716629,0.46520849495791,-0.214540962716629,-2.30439395974117,0,1826,"Available_N"
"propN_fol1",0.169104545341887,0.169104545341887,0.223102860024621,0.484694709441003,-0.223102860024621,-2.40776803396251,0,1826,"Available_N"
"LitterRateC1",0.00129299451822248,0.00129299451822248,0.224484128599514,0.483489017608975,0.224484128599514,0,2.33380926979906,1826,"Available_N"
"UptakeRate1",0.0109808602057993,0.0109808602057993,0.367695009319723,0.672797966148472,-0.367695009319723,-2.64449141270785,0,1826,"Available_N"
"propN_roots1",0.0111813370636474,0.0111813370636474,0.367695021972483,0.672797987988588,-0.367695021972483,-2.64449148321416,0,1826,"Available_N"
"beta2",0.0766926065650583,0.0766926065650583,0,0,0,0,0,1826,"Biomass_C"
"SOM_C2",20344.2164917512,20344.2164917512,0,0,0,0,0,1826,"Biomass_C"
"SOM_N2",875.000064298401,875.000064298401,0,0,0,0,0,1826,"Biomass_C"
"kplant2",0.151576484745363,0.151576484745363,7.03266674647157,7.6666834315012,-7.03266674647157,-11.8814752355515,0,1826,"Biomass_C"
"UptakeRate2",0.0109808602057993,0.0109808602057993,22.8062015679939,25.4644516529949,22.806172759557,-0.00497291883104954,46.7559538582069,1826,"Biomass_C"
"propN_roots2",0.0111813370636474,0.0111813370636474,22.806201848522,25.4644520127646,22.8061730413957,-0.0049728203740629,46.7559542148521,1826,"Biomass_C"
"Available_N2",2.64937158015817,2.64937158015817,32.2898421382526,34.8415960669997,32.2898421382526,0,52.3758444614941,1826,"Biomass_C"
"Biomass_N2",10.1849611575459,10.1849611575459,113.859646807824,122.857543456298,113.859646807824,0,184.685995918699,1826,"Biomass_C"
"netNrate2",0.0367319566769456,0.0367319566769456,234.037624829279,279.568472439779,234.037624829279,0,511.435664545649,1826,"Biomass_C"
"Biomass_C2",639.442368982487,639.442368982487,255.097557917285,300.471321534555,255.097557917285,68.3577241034072,639.442373540078,1826,"Biomass_C"
"LitterRateN2",0.00211063068724482,0.00211063068724482,271.404334860363,320.871730886547,-271.404334860363,-590.392206287045,0,1826,"Biomass_C"
"cue2",0.685843922537506,0.685843922537506,392.5170881462,430.001342988483,392.5170881462,0,644.31593348136,1826,"Biomass_C"
"LitterRateC2",0.00129299451822248,0.00129299451822248,402.964713300549,436.472300888758,-402.964713300549,-591.626402905764,0,1826,"Biomass_C"
"propN_fol2",0.169104545341887,0.169104545341887,405.130908326489,443.994278858912,405.130908326489,0,670.067525236362,1826,"Biomass_C"
"beta3",0.0766926065650583,0.0766926065650583,0,0,0,0,0,1826,"Biomass_N"
"SOM_C3",20344.2164917512,20344.2164917512,0,0,0,0,0,1826,"Biomass_N"
"SOM_N3",875.000064298401,875.000064298401,0,0,0,0,0,1826,"Biomass_N"
"Biomass_C3",639.442368982487,639.442368982487,0.176618821308444,0.295518455079161,0.020985503319261,-0.198857286193288,1.95966212146459,1826,"Biomass_N"
"kplant3",0.151576484745363,0.151576484745363,0.104865297633971,0.138274795942668,-0.0316536282462733,-0.409818583318333,0.112719682480377,1826,"Biomass_N"
"cue3",0.685843922537506,0.685843922537506,0.226860129255449,0.401128752992941,0.085495782759672,-0.346949092002177,1.96854875272979,1826,"Biomass_N"
"propN_fol3",0.169104545341887,0.169104545341887,0.236083078449693,0.418126258679463,0.0891083401755821,-0.361691237012974,2.05783072407966,1826,"Biomass_N"
